case,pad_bytes,count,interval_ms,sent,received,lost,loss_rate,mean,median,std,min,max,p50,p75,p90,p95,p99,outliers,payload_bytes_min,payload_bytes_max,payload_bytes_mean,status,reason
Case 1,0,5,200,5,5,0,0.00,34.40,42.00,16.21,2.00,43.00,42.00,43.00,43.00,43.00,43.00,0,110,110,110.00,PASS,
Case 2,256,5,200,5,5,0,0.00,33.80,42.00,16.41,1.00,43.00,42.00,42.00,43.00,43.00,43.00,0,377,377,377.00,PASS,
Case 3,512,5,200,5,5,0,0.00,35.20,42.00,16.65,2.00,45.00,42.00,45.00,45.00,45.00,45.00,0,633,633,633.00,PASS,
Case 4,900,5,200,5,5,0,0.00,36.40,45.00,17.21,2.00,46.00,45.00,45.00,46.00,46.00,46.00,0,1021,1021,1021.00,PASS,
Case 5,1200,5,200,5,0,5,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1321,1321,1321.00,PASS,Expected reject/no-ack (oversize)
