case,pad_bytes,count,interval_ms,sent,received,lost,loss_rate,mean,median,std,min,max,p50,p75,p90,p95,p99,outliers,payload_bytes_min,payload_bytes_max,payload_bytes_mean,status,reason
Case 1,0,20,200,20,20,0,0.00,41.10,43.00,9.04,2.00,45.00,43.00,44.00,45.00,45.00,45.00,0,110,110,110.00,PASS,
Case 2,256,20,200,20,20,0,0.00,40.95,43.00,9.02,2.00,45.00,43.00,44.00,45.00,45.00,45.00,0,377,377,377.00,PASS,
Case 3,512,20,200,20,20,0,0.00,41.40,43.00,9.11,2.00,46.00,43.00,44.00,45.00,46.00,46.00,0,633,633,633.00,PASS,
Case 4,900,20,200,20,20,0,0.00,41.20,43.00,8.82,3.00,45.00,43.00,44.00,45.00,45.00,45.00,0,1021,1021,1021.00,PASS,
Case 5,1200,20,200,20,0,20,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1321,1321,1321.00,PASS,Expected reject/no-ack (oversize)
