case,pad_bytes,count,interval_ms,sent,received,lost,loss_rate,mean,median,std,min,max,p50,p75,p90,p95,p99,outliers
Case 1,0,100,100,100,100,0,0.00,42.21,43.00,4.10,3.00,45.00,43.00,44.00,44.00,44.00,45.00,0
Case 2,256,100,100,100,100,0,0.00,42.68,43.00,4.25,2.00,45.00,43.00,44.00,45.00,45.00,45.00,0
Case 3,1024,100,100,100,0,100,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
