case,pad_bytes,count,interval_ms,sent,received,lost,loss_rate,mean,median,std,min,max,p50,p75,p90,p95,p99,outliers,payload_bytes_min,payload_bytes_max,payload_bytes_mean,status,reason
Case 1,0,10,200,10,10,0,0.00,38.90,43.00,12.33,2.00,44.00,43.00,44.00,44.00,44.00,44.00,0,110,110,110.00,PASS,
Case 2,256,10,200,10,10,0,0.00,39.00,43.00,12.39,2.00,45.00,43.00,44.00,45.00,45.00,45.00,0,377,377,377.00,PASS,
Case 3,512,10,200,10,10,0,0.00,39.30,43.50,12.49,2.00,45.00,44.00,44.00,45.00,45.00,45.00,0,633,633,633.00,PASS,
Case 4,900,10,200,10,10,0,0.00,39.10,43.00,12.45,2.00,45.00,43.00,45.00,45.00,45.00,45.00,0,1021,1021,1021.00,PASS,
Case 5,1200,10,200,10,0,10,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1321,1321,1321.00,PASS,Expected reject/no-ack (oversize)
