cmd_id,t_send_ms,t_ack_recv_ms,rtt_ms,payload_size,actual_payload_bytes,mode,phase,note
ac3fa6d5-dae7-4c7a-9724-f62f92c3027f,1770611023619,1770611023621,2,377,377,AUTO,,Case 2
bc7d429d-3d29-4c49-9419-80a52c063b60,1770611023720,1770611023763,43,377,377,AUTO,,Case 2
906e63cb-88bc-4e90-98cf-bc2771645d19,1770611023820,1770611023863,43,377,377,AUTO,,Case 2
88d221bb-fc90-4bb9-91d7-02216ed46545,1770611023921,1770611023963,42,377,377,AUTO,,Case 2
b7206b75-8018-4764-a17f-ba50ff49144e,1770611024021,1770611024063,42,377,377,AUTO,,Case 2
ab074879-6c15-4886-a5d1-7ee0377cc78c,1770611024122,1770611024167,45,377,377,AUTO,,Case 2
124d5e0c-2c21-4a69-b406-ebb2d9f7bc29,1770611024222,1770611024267,45,377,377,AUTO,,Case 2
a33dc891-eb46-45be-8eb7-d991dec3f985,1770611024323,1770611024367,44,377,377,AUTO,,Case 2
f14ca07a-ddda-4056-b6bc-89e6cd0b42df,1770611024423,1770611024467,44,377,377,AUTO,,Case 2
ed1f9d01-5d3c-4f85-b4d2-9ef15c91bc83,1770611024524,1770611024567,43,377,377,AUTO,,Case 2
db7fb6cb-4d7d-47fb-8d10-46c9af3c2d79,1770611024625,1770611024667,42,377,377,AUTO,,Case 2
3f7d1756-9cfe-4d60-af0c-763ff5b0b358,1770611024725,1770611024767,42,377,377,AUTO,,Case 2
92a9115c-889c-49d1-853b-48ae2f56d4db,1770611024826,1770611024867,41,377,377,AUTO,,Case 2
2d8c2583-7afc-44aa-821e-cee129f3a65c,1770611024926,1770611024971,45,377,377,AUTO,,Case 2
9e604c0f-6b2c-4e09-a9b3-6ac7a00ff45d,1770611025027,1770611025071,44,377,377,AUTO,,Case 2
afdc1760-4bb0-48cd-ae0a-9b1d2be7cec6,1770611025128,1770611025171,43,377,377,AUTO,,Case 2
7f73adb3-f7eb-48ef-8efa-ee6d5b66e86f,1770611025228,1770611025271,43,377,377,AUTO,,Case 2
daef9a2f-ac5c-45e2-85bc-118b4e49f3ea,1770611025329,1770611025371,42,377,377,AUTO,,Case 2
7f6458be-238d-4d59-907a-b646230882cf,1770611025429,1770611025471,42,377,377,AUTO,,Case 2
41985baf-f39a-4e6a-b57e-be6976a04169,1770611025530,1770611025575,45,377,377,AUTO,,Case 2
82d6ab37-c241-4165-89cd-812acd9afa02,1770611025631,1770611025675,44,377,377,AUTO,,Case 2
8a7aecea-fb6b-4164-8f7b-73a61507af47,1770611025731,1770611025775,44,377,377,AUTO,,Case 2
26136bb5-8df7-4ae3-b13f-f98f071e20e2,1770611025832,1770611025879,47,377,377,AUTO,,Case 2
e40cb51c-f27b-4792-97b3-35692675a0f1,1770611025932,1770611025975,43,377,377,AUTO,,Case 2
da29d61a-b10d-4224-86ef-5033dc9b3537,1770611026032,1770611026075,43,377,377,AUTO,,Case 2
8981a028-d7c2-43de-bd70-94d5f392cf3d,1770611026133,1770611026175,42,377,377,AUTO,,Case 2
9214cd0e-db1e-489b-9dd8-afb7244c8fdf,1770611026233,1770611026275,42,377,377,AUTO,,Case 2
80a40579-7110-4127-9a78-50c8fa62b5e6,1770611026334,1770611026379,45,377,377,AUTO,,Case 2
b1f29f80-5439-4419-b27b-880dd44097d9,1770611026435,1770611026479,44,377,377,AUTO,,Case 2
3b6991e8-153d-4966-9cd1-114be1ab9793,1770611026535,1770611026579,44,377,377,AUTO,,Case 2
