cmd_id,t_send_ms,t_ack_recv_ms,rtt_ms,payload_size,actual_payload_bytes,mode,phase,note
4f043bee-3b5f-4fd0-87a5-ad2292b4ec57,1770611035728,1770611035730,2,633,633,AUTO,,Case 3
f4942b4b-3c21-4140-954a-bb2a440eb6cc,1770611035829,1770611035871,42,633,633,AUTO,,Case 3
2a76090b-7a4d-45da-9dc6-94a93077b37a,1770611035929,1770611035971,42,633,633,AUTO,,Case 3
ef97b972-e1ba-43f5-b2ec-664497749712,1770611036029,1770611036071,42,633,633,AUTO,,Case 3
f0e54884-c18c-4a10-83b7-f70b7810ec9d,1770611036130,1770611036175,45,633,633,AUTO,,Case 3
7793464f-703b-4042-b25d-a639d6f68e08,1770611036230,1770611036275,45,633,633,AUTO,,Case 3
d747439b-43a7-4207-afae-94f41aca43d0,1770611036331,1770611036375,44,633,633,AUTO,,Case 3
472aca94-0cfd-4bde-93c8-848682644842,1770611036431,1770611036475,44,633,633,AUTO,,Case 3
f32a4e12-e94f-451e-914d-781cda428b1d,1770611036531,1770611036575,44,633,633,AUTO,,Case 3
a7c22f8c-0a3c-4075-9a3f-2fa50e24a676,1770611036632,1770611036675,43,633,633,AUTO,,Case 3
5e79dbd0-93a3-4c65-a2e3-b044b84ec854,1770611036733,1770611036775,42,633,633,AUTO,,Case 3
5c300f4f-0ae5-4149-bee5-7229a6ff0fcc,1770611036833,1770611036875,42,633,633,AUTO,,Case 3
97c434c2-a9ae-43f8-808b-de5fa75deda9,1770611036934,1770611036979,45,633,633,AUTO,,Case 3
dad5045a-e4ff-4b63-a17d-5f189b37ddb2,1770611037034,1770611037079,45,633,633,AUTO,,Case 3
4e8dab3b-e77c-4e51-a215-270df0d37774,1770611037134,1770611037179,45,633,633,AUTO,,Case 3
4cdafa64-0afb-45ac-865a-ca1ba47ef1e2,1770611037235,1770611037279,44,633,633,AUTO,,Case 3
1b257534-521f-4cb0-97c9-c51c63c86bb7,1770611037336,1770611037379,43,633,633,AUTO,,Case 3
9286b426-3d27-4d1a-8603-3c7efc7492f4,1770611037436,1770611037479,43,633,633,AUTO,,Case 3
9b6e3aa6-a1e6-4021-a6fb-69cab4937bf1,1770611037536,1770611037578,42,633,633,AUTO,,Case 3
