cmd_id,t_send_ms,t_ack_recv_ms,rtt_ms,payload_size,actual_payload_bytes,mode,phase,note
f9c4a56f-f1c8-46e8-a55c-4d72192ddccf,1770611011497,1770611011499,2,110,110,AUTO,,Case 1
9729f7d2-64a9-47de-807a-ca13bb0ca3c2,1770611011597,1770611011639,42,110,110,AUTO,,Case 1
cf5340e3-392e-4285-b64f-d9691dda26af,1770611011697,1770611011740,43,110,110,AUTO,,Case 1
9c2561c5-639a-4453-9566-18cb81776752,1770611011798,1770611011839,41,110,110,AUTO,,Case 1
6ee47722-d0b3-4859-b581-a917218d8371,1770611011898,1770611011943,45,110,110,AUTO,,Case 1
60d9025c-2f02-49ce-b210-196323310f6b,1770611011999,1770611012044,45,110,110,AUTO,,Case 1
b6eb0cc0-fa23-4c48-a723-425a0ddf4095,1770611012099,1770611012144,45,110,110,AUTO,,Case 1
b4868306-173d-41f6-9542-89ca6b99e42d,1770611012200,1770611012243,43,110,110,AUTO,,Case 1
97315a9e-d8a5-4101-a546-8257dd57f131,1770611012300,1770611012343,43,110,110,AUTO,,Case 1
b65756ca-5c34-4f68-8aae-c8d0f704684f,1770611012400,1770611012443,43,110,110,AUTO,,Case 1
b424b531-854e-4054-9541-fbfd6b0527ad,1770611012501,1770611012543,42,110,110,AUTO,,Case 1
835b8cd9-d1d2-4092-a0d9-42b9dd20f1bd,1770611012601,1770611012643,42,110,110,AUTO,,Case 1
db7d3a3f-01f5-4369-bf8a-ba8f3d8d0eb6,1770611012702,1770611012743,41,110,110,AUTO,,Case 1
9739ac45-ba48-4473-86e8-f108260ff8c7,1770611012802,1770611012844,42,110,110,AUTO,,Case 1
dbb19cf1-c356-4a83-b757-39078a486c56,1770611012902,1770611012947,45,110,110,AUTO,,Case 1
d477dd69-dbd5-46e5-89eb-cd30543dbd08,1770611013003,1770611013048,45,110,110,AUTO,,Case 1
7c9e0a1b-bfc7-4d13-b467-951f2ba106eb,1770611013103,1770611013147,44,110,110,AUTO,,Case 1
b2bf1f1b-ceda-4d8e-b518-cd02505ae8e4,1770611013204,1770611013248,44,110,110,AUTO,,Case 1
ec6168cb-cc2c-4bc1-98e2-6881faf3a840,1770611013305,1770611013347,42,110,110,AUTO,,Case 1
b59ada0a-f832-4569-a30b-e5799a4e1c97,1770611013405,1770611013447,42,110,110,AUTO,,Case 1
8844cb9c-64cc-4963-b744-a202c52f48ee,1770611013506,1770611013547,41,110,110,AUTO,,Case 1
addf71a0-e3a5-4e67-8745-559bd493a26a,1770611013606,1770611013651,45,110,110,AUTO,,Case 1
469a676c-1e8e-438c-9c8f-6dd106dfc5c0,1770611013706,1770611013752,46,110,110,AUTO,,Case 1
e906dd29-ac62-4a37-a72a-eb016d38778a,1770611013807,1770611013851,44,110,110,AUTO,,Case 1
6ffffca7-08a0-4b4e-87a7-b21dd8141af5,1770611013907,1770611013951,44,110,110,AUTO,,Case 1
5e162e82-5a4f-4494-a40d-458d520cd28b,1770611014008,1770611014051,43,110,110,AUTO,,Case 1
9431e40b-754b-498d-832a-ed00a403a62b,1770611014108,1770611014151,43,110,110,AUTO,,Case 1
1f057835-8099-4ff6-93cf-202a14f94b13,1770611014209,1770611014251,42,110,110,AUTO,,Case 1
1113968e-270b-4de2-b831-8293b1010e3f,1770611014310,1770611014351,41,110,110,AUTO,,Case 1
05bc5f82-d1fb-439f-a96f-91e5cf082c08,1770611014410,1770611014455,45,110,110,AUTO,,Case 1
a64f86a3-dd23-465c-91a0-55e10a663050,1770611014511,1770611014555,44,110,110,AUTO,,Case 1
8e882ab8-0375-4871-8b30-e5a62717681e,1770611014611,1770611014655,44,110,110,AUTO,,Case 1
c08304d2-a52b-4208-8367-cb51e09ce632,1770611014712,1770611014755,43,110,110,AUTO,,Case 1
c5adf564-b92d-4643-9179-f36b27782606,1770611014813,1770611014855,42,110,110,AUTO,,Case 1
47df1ee3-4086-4124-beac-ae6c808f9148,1770611014913,1770611014955,42,110,110,AUTO,,Case 1
17a827b3-ac51-4fc0-a817-da1bade06cc8,1770611015014,1770611015055,41,110,110,AUTO,,Case 1
1466d927-cb93-4d5e-9268-a641fcd738a0,1770611015114,1770611015155,41,110,110,AUTO,,Case 1
