case,pad_bytes,count,interval_ms,sent,received,lost,loss_rate,mean,median,std,min,max,p50,p75,p90,p95,p99,outliers,payload_bytes_min,payload_bytes_max,payload_bytes_mean,status,reason
Case 1,0,100,100,100,100,0,0.00,42.74,43.00,4.34,2.00,49.00,43.00,44.00,45.00,45.00,49.00,0,110,110,110.00,PASS,
Case 2,256,100,100,100,100,0,0.00,43.07,43.00,4.30,2.00,47.00,43.00,44.00,45.00,45.00,47.00,0,377,377,377.00,PASS,
Case 3,512,100,100,100,100,0,0.00,42.85,43.00,4.32,2.00,46.00,43.00,44.00,45.00,45.00,46.00,0,633,633,633.00,PASS,
Case 4,900,100,100,100,100,0,0.00,42.99,43.50,4.19,3.00,45.00,44.00,44.00,45.00,45.00,45.00,0,1021,1021,1021.00,PASS,
Case 5,1200,100,100,100,0,100,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1321,1321,1321.00,PASS,Expected reject/no-ack (oversize)
